latitude,longitude,temperature_c,temperature_max_c,temperature_min_c,temperature_range_c,precipitation_mm_day,soil_organic_carbon_g_per_kg,soil_ph,soil_source_distance_m,soil_ph_source_distance_m,gbif_occurrence_records,gbif_sampled_records,observed_species_count_sample,observed_genera_count_sample,observed_families_count_sample,observed_orders_count_sample,observed_kingdom_count_sample,species_per_1000_records
31.0,75.0,25.693,41.543,10.775,30.768,1.543,9.1,8.1,0.0,0.0,118,118,50,39,21,18,2,423.728814
31.0,78.0,10.928,25.035,-2.955,27.99,2.812,46.2,5.7,0.0,0.0,431,300,97,80,42,14,1,225.058005
31.0,81.0,-4.127,12.475,-22.252,34.727,0.638,15.8,7.0,0.0,0.0,8,8,5,6,6,6,3,625.0
31.0,84.0,-5.275,11.232,-24.433,35.665,0.895,13.7,8.2,0.0,0.0,0,0,0,0,0,0,0,
31.0,87.0,-2.16,12.879,-16.511,29.39,0.975,,,,,0,0,0,0,0,0,0,
31.0,90.0,-1.06,14.244,-15.962,30.206,1.113,16.6,7.8,0.0,0.0,0,0,0,0,0,0,0,
33.5,69.0,9.809,26.738,-10.374,37.112,1.632,4.6,7.8,0.0,0.0,34,34,32,30,16,11,2,941.176471
33.5,72.0,23.348,40.135,8.015,32.12,1.955,10.8,7.9,0.0,0.0,114,114,86,71,42,25,2,754.385965
33.5,75.0,10.635,25.86,-4.372,30.232,2.268,47.2,5.6,0.0,0.0,196,196,37,35,22,10,2,188.77551
33.5,78.0,-6.139,10.833,-24.925,35.758,0.62,7.9,8.0,0.0,0.0,343,300,129,94,39,26,2,376.093294
33.5,81.0,-3.534,12.737,-18.686,31.423,0.218,4.9,8.1,0.0,0.0,0,0,0,0,0,0,0,
33.5,84.0,-3.955,12.907,-19.755,32.662,0.311,4.9,8.4,0.0,0.0,0,0,0,0,0,0,0,
33.5,87.0,-4.324,11.907,-20.178,32.085,0.809,7.1,8.4,0.0,0.0,1,1,1,1,1,1,1,1000.0
33.5,90.0,-4.834,10.356,-20.422,30.778,1.131,9.4,8.1,0.0,0.0,0,0,0,0,0,0,0,
