latitude,longitude,temperature_c,temperature_max_c,temperature_min_c,temperature_range_c,precipitation_mm_day,soil_organic_carbon_g_per_kg,soil_ph,soil_source_distance_m,soil_ph_source_distance_m,land_cover_class,land_cover_label,is_terrestrial,land_cover_status,gbif_occurrence_records,gbif_sampled_records,observed_species_count_sample,observed_genera_count_sample,observed_families_count_sample,observed_orders_count_sample,observed_kingdom_count_sample,species_per_1000_records,gbif_observation_effort,gbif_species_observed,gbif_has_observations
14.5,79.5,27.743,40.511,17.742,22.769,2.422,12.8,7.5,0.0,0.0,40,cropland,True,available,10,10,6,5,5,3,2,600.0,10,6,True
16.5,79.5,27.755,40.682,16.945,23.737,2.053,10.0,6.6,0.0,0.0,40,cropland,True,available,17,17,13,13,11,9,2,764.705882,17,13,True
18.5,79.5,27.582,40.847,15.405,25.442,2.516,9.1,7.2,0.0,0.0,40,cropland,True,available,420,300,106,89,51,24,2,252.380952,420,106,True
18.5,82.5,23.142,34.913,13.185,21.728,4.255,21.4,6.0,0.0,0.0,30,grassland,True,available,447,300,110,85,49,15,1,246.085011,447,110,True
20.5,82.5,25.443,38.378,13.11,25.268,3.735,10.8,6.1,0.0,0.0,30,grassland,True,available,135,135,52,44,36,16,1,385.185185,135,52,True
22.5,82.5,25.367,38.788,12.234,26.554,3.525,7.1,7.5,0.0,0.0,40,cropland,True,available,83,83,47,48,36,25,2,566.26506,83,47,True
24.5,82.5,25.718,40.072,12.244,27.828,2.534,6.8,7.4,0.0,0.0,40,cropland,True,available,565,300,91,78,45,18,1,161.061947,565,91,True
20.5,85.5,26.385,38.844,15.69,23.154,4.287,18.2,6.2,0.0,0.0,10,tree_cover,True,available,548,300,77,66,42,15,1,140.510949,548,77,True
22.5,85.5,25.078,38.206,12.882,25.324,4.06,19.2,5.7,0.0,0.0,10,tree_cover,True,available,15,15,13,13,8,5,2,866.666667,15,13,True
24.5,85.5,24.815,37.871,12.121,25.75,2.983,13.4,6.2,0.0,0.0,10,tree_cover,True,available,2439,300,97,82,51,21,1,39.770398,2439,97,True
26.5,85.5,25.783,39.33,12.888,26.442,3.12,13.6,6.6,0.0,0.0,40,cropland,True,available,21,21,20,18,14,10,3,952.380952,21,20,True
25.5,77.5,25.458,40.668,11.517,29.151,2.065,5.7,7.4,0.0,0.0,40,cropland,True,available,249,249,90,75,48,21,2,361.445783,249,90,True
27.5,79.5,25.95,41.479,11.836,29.643,2.087,8.2,7.8,0.0,0.0,40,cropland,True,available,5,5,5,5,5,5,2,1000.0,5,5,True
29.5,81.5,11.247,24.695,-3.344,28.039,2.219,62.1,5.7,0.0,0.0,30,grassland,True,available,473,300,70,92,52,36,4,147.991543,473,70,True
27.5,82.5,25.565,40.035,12.836,27.199,3.29,11.0,7.2,0.0,0.0,10,tree_cover,True,available,16,16,15,16,15,9,2,937.5,16,15,True
29.5,83.5,-4.916,11.555,-24.506,36.061,1.791,14.3,7.0,0.0,0.0,30,grassland,True,available,0,0,0,0,0,0,0,,0,0,False
24.5,90.5,25.281,36.307,14.32,21.987,6.81,14.1,5.3,0.0,0.0,40,cropland,True,available,18,18,18,17,13,10,4,1000.0,18,18,True
25.5,91.5,19.129,28.395,9.236,19.159,8.319,38.7,5.1,0.0,0.0,10,tree_cover,True,available,1192,300,48,42,28,17,4,40.268456,1192,48,True
26.5,91.5,24.071,34.009,14.395,19.614,5.312,15.5,5.4,0.0,0.0,40,cropland,True,available,3189,300,83,70,44,19,2,26.026968,3189,83,True
27.5,93.5,17.65,28.506,7.97,20.536,6.635,36.3,5.2,0.0,0.0,10,tree_cover,True,available,45,45,37,30,22,9,2,822.222222,45,37,True
25.5,94.5,18.372,30.93,7.944,22.986,3.385,23.4,5.3,0.0,0.0,10,tree_cover,True,available,241,241,89,69,45,15,2,369.294606,241,89,True
27.5,95.5,24.16,39.256,13.574,25.682,6.084,21.9,5.1,0.0,0.0,10,tree_cover,True,available,3227,300,96,85,47,20,2,29.748993,3227,96,True
30.5,77.5,21.605,36.029,9.441,26.588,3.687,18.5,6.0,0.0,0.0,40,cropland,True,available,8193,300,109,86,48,19,2,13.30404,8193,109,True
31.5,78.5,-4.228,10.858,-21.725,32.583,1.775,56.3,6.6,0.0,0.0,30,grassland,True,available,6,6,6,6,5,2,2,1000.0,6,6,True
32.5,79.5,-4.141,12.282,-21.82,34.102,0.345,8.4,7.4,0.0,0.0,60,bare_sparse_vegetation,True,available,1,1,1,1,1,0,1,1000.0,1,1,True
30.5,81.5,-3.955,12.224,-23.312,35.536,0.967,15.4,6.8,0.0,0.0,60,bare_sparse_vegetation,True,available,19,19,18,18,11,5,1,947.368421,19,18,True
31.5,82.5,-4.19,13.388,-24.905,38.293,0.474,8.0,8.1,0.0,0.0,30,grassland,True,available,3,3,3,3,1,1,1,1000.0,3,3,True
32.5,84.5,-1.844,14.292,-19.291,33.583,0.596,8.7,8.4,0.0,0.0,60,bare_sparse_vegetation,True,available,0,0,0,0,0,0,0,,0,0,False
